date,death,case,PM2.5,PM10,SO2,NO2,O3-24h,O3-8h,CO,city,tmin,tmax,t,h,w,风级(级),p,能见度(km)
2020/1/23,0,26,66,70,8,52,54,24,1.08,北京,-5.9,7.9,0.4,51,1.4,1,1025,12.6
2020/1/24,0,35,56,63,6,36,80,50,0.94,北京,-3.3,3.6,-0.3,48,1.8,2,1034,9.4
2020/1/25,0,49,76,77,6,21,80,59,0.71,北京,-7.2,4.7,-2.1,61,0.6,1,1030,3.6
2020/1/26,0,70,145,161,10,33,81,45,0.96,北京,-6.6,2.8,-2.2,65,0.5,1,1029,2
2020/1/27,1,77,152,147,11,38,88,56,1.67,北京,-3.8,4.8,0,62,0.5,1,1022,1.9
2020/1/28,0,88,158,137,10,37,91,65,1.8,北京,-3.7,4.9,0.1,61,0.4,1,1021,1.6
2020/1/29,0,106,171,147,13,40,130,87,2.08,北京,-3.3,7.5,1.4,57,0.8,1,1022,10
2020/1/30,0,127,70,51,7,27,89,54,1.05,北京,-6.5,5.9,-1,54,1.3,1,1022,9.4
2020/1/31,0,150,46,48,5,27,96,65,0.81,北京,-6.1,7.4,1.3,45,1.1,1,1020,12.8
2020/2/1,0,171,44,47,4,27,89,76,0.77,北京,-1.3,4.6,1.8,27,1.5,1,1025,27.6
2020/2/2,0,199,9,16,2,10,76,59,0.27,北京,-1.2,3.2,0.3,57,2,2,1025,14.5
2020/2/3,0,204,31,32,2,11,72,68,0.43,北京,-7.7,2.5,-2.1,35,2.3,2,1025,23.3
2020/2/4,0,228,18,28,2,14,75,51,0.35,北京,-4.6,1.5,-2.5,34,2,2,1026,26.3
2020/2/5,0,242,10,18,2,12,69,51,0.3,北京,-7.9,-3.6,-5.9,76,1.8,2,1033,7.2
2020/2/6,0,263,26,33,3,18,54,42,0.61,北京,-8.2,-4.2,-6,80,1,1,1031,3.1
2020/2/7,1,279,44,38,4,25,46,23,1.02,北京,-6.6,1.4,-3.5,73,0.6,1,1027,3.8
2020/2/8,0,287,72,52,4,35,61,34,1.11,北京,-8.8,6.9,-1.7,64,0.7,1,1028,5.8
2020/2/9,0,291,60,50,4,30,86,54,0.83,北京,-5.2,6,-0.3,69,0.6,1,1020,2.6
2020/2/10,1,291,122,109,4,43,76,41,1.36,北京,-4.2,11.3,2.3,66,0.5,1,1016,2.2
2020/2/11,0,293,124,103,4,50,92,51,1.42,北京,-2.4,9.8,2.6,72,0.6,1,1015,1.4
2020/2/12,0,295,182,141,8,56,120,63,2.35,北京,-1.6,11,3.8,73,0.8,1,1011,1.3
2020/2/13,0,290,207,145,5,48,135,74,2.33,北京,-0.8,6.9,4.4,87,1.4,1,1009,0.7
2020/2/14,1,274,197,142,3,47,88,12,2.13,北京,-1.3,6.6,1.1,79,2.8,2,1021,11.6
2020/2/15,0,271,50,39,2,17,63,59,0.85,北京,-4.8,-0.6,-2.8,31,4.5,3,1028,30
2020/2/16,1,263,6,11,2,5,71,68,0.21,北京,-3.4,3.2,-0.3,29,4.4,3,1026,30
2020/2/17,0,261,3,8,2,5,74,71,0.2,北京,-2.3,6.1,1.2,38,1.9,2,1026,30
