城市,日期,tmin,tmax,t,h,w,风级(级),p,能见度(km),总降水量(mm),PM2.5,PM10,SO2,NO2,O3-24h,O3-8h,CO,death,case
武汉,2020年1月23日,4.9,8.2,6.8,90,1.1,1,1021,2.2,2.4,81,89,5,30,51,38,0.99,0,0
武汉,2020年1月24日,5.8,7.3,6.7,94,2.3,2,1025,3.7,5.8,80,89,5,23,52,32,1.11,0,0
武汉,2020年1月25日,4.5,5.5,5,92,2.1,2,1026,4.8,3.9,28,37,5,15,71,64,0.54,7,0
武汉,2020年1月26日,2.4,4,3.3,88,2.1,2,1024,8.3,1.9,45,52,5,13,55,51,0.77,18,613
武汉,2020年1月27日,2.8,4.8,3.6,84,1.4,1,1023,5.8,0,30,32,5,10,77,74,0.56,22,1485
武汉,2020年1月28日,-1,7.6,3.4,81,0.6,1,1023,4.9,0,47,48,5,11,69,61,0.82,19,1778
武汉,2020年1月29日,-2,11.7,4.4,79,0.8,1,1024,4.5,0,56,60,5,16,84,62,0.7,25,2082
武汉,2020年1月30日,-1.7,13.4,4.5,75,0.5,1,1024,4.1,0,54,57,8,21,92,71,0.72,30,2428
武汉,2020年1月31日,-1.6,13.8,4.7,70,0.5,1,1022,5.5,0,55,60,7,28,109,73,0.77,33,2953
武汉,2020年2月1日,0.6,13.9,8.5,65,1,1,1021,6.4,0,72,80,10,34,121,87,0.98,32,3791
武汉,2020年2月2日,7.5,12,9.3,75,0.6,1,1023,5.1,0,66,74,11,35,105,58,1.03,41,4711
武汉,2020年2月3日,1.8,13.4,6.9,80,0.6,1,1024,3,0,64,69,7,33,80,66,0.84,48,5867
武汉,2020年2月4日,0,15.2,6.5,79,0.5,1,1022,4.8,0,74,80,8,31,113,67,1.04,49,7733
武汉,2020年2月5日,1.1,14.8,7.6,74,1.5,1,1022,3.4,0.4,64,73,9,36,117,68,0.91,52,9399
武汉,2020年2月6日,3.6,6.7,5.3,93,2.9,2,1023,5.1,18.9,97,103,9,32,112,69,1.26,64,10782
武汉,2020年2月7日,3.4,5.6,4.5,85,1.3,1,1028,9,0,36,48,5,14,56,47,0.74,67,12647
武汉,2020年2月8日,3.2,9,5.9,81,0.4,1,1031,11,0,18,20,5,12,48,43,0.56,63,13801
武汉,2020年2月9日,-0.5,13.2,6,79,0.6,1,1028,6.7,0,23,26,5,17,62,43,0.72,73,15583
武汉,2020年2月10日,4.7,10.6,8.6,84,0.9,1,1021,6.2,0.4,31,35,6,20,92,62,0.77,67,16949
武汉,2020年2月11日,8.5,11.6,10,88,0.9,1,1018,9.1,0,43,45,8,26,66,49,1.02,72,17840
武汉,2020年2月12日,5,13.7,10.2,87,0.5,1,1016,8.1,0,28,31,6,17,60,41,0.94,216,31123
武汉,2020年2月13日,4.2,18.6,12.4,88,0.8,1,1010,8.3,0,27,32,7,23,59,39,1,88,34477
武汉,2020年2月14日,8.3,16,13.5,89,2.4,2,1011,5.6,17.1,24,31,9,23,63,43,1.22,107,35385
武汉,2020年2月15日,0,8,2.6,92,3.9,3,1027,7.1,23,30,36,7,18,56,46,1.21,110,36427
武汉,2020年2月16日,-1.1,7.6,2.2,76,0.5,1,1031,16.6,0.1,13,25,5,10,58,51,0.76,76,37733
武汉,2020年2月17日,-1.8,11.8,4.2,71,0.5,1,1032,19.3,0,11,22,6,13,83,64,0.6,72,38747
武汉,2020年2月18日,-1.8,13,6.4,67,0.6,1,1027,17.3,0,14,23,6,17,93,68,0.6,116,39667
武汉,2020年2月19日,3.2,14.9,9.4,65,0.5,1,1023,17.3,0,22,26,8,23,109,86,0.73,88,39512
武汉,2020年2月20日,1,17.4,8.9,71,0.9,1,1025,12.4,0,30,34,12,22,92,63,0.84,99,39283
武汉,2020年2月21日,9.4,15.1,11.3,73,1,1,1028,10.1,0.3,41,48,10,29,109,77,1.03,90,38998
武汉,2020年2月22日,3.2,17.2,10.7,76,0.6,1,1029,5.7,0,50,53,7,20,95,66,0.87,82,38569
武汉,2020年2月23日,10.9,20.1,14.9,60,1.3,1,1021,13.6,0,43,57,9,20,121,93,1.01,131,38036
武汉,2020年2月24日,13.7,24,19.2,67,1.8,2,1012,12,0,35,69,13,23,109,80,0.96,56,37749
武汉,2020年2月25日,12.1,22,17.1,77,2,2,1014,3.7,12.1,41,57,12,18,112,88,1.03,42,36751
武汉,2020年2月26日,10.7,14.3,12.3,84,2.6,2,1021,6.5,26,75,89,7,21,116,80,1.18,19,35711
武汉,2020年2月27日,7.9,11.3,10.1,88,2.1,2,1021,5.1,0.2,44,54,6,15,70,61,1.21,28,34513
武汉,2020年2月28日,5.4,6.6,6.2,94,1.3,1,1018,7.6,8.3,32,45,6,17,62,37,0.92,37,32455
