省,日期,累计确诊,累计死亡,累计治愈
湖北,20200125,1052,52,42
浙江,20200125,104,,1
广东,20200125,98,,2
河南,20200125,83,1,
重庆,20200125,75,,
湖南,20200125,69,,
安徽,20200125,60,,
北京,20200125,51,,2
四川,20200125,44,,
上海,20200125,40,,1
山东,20200125,39,,
江西,20200125,36,,
广西,20200125,33,,
江苏,20200125,31,,1
海南,20200125,22,,
辽宁,20200125,19,,
福建,20200125,18,,
黑龙江,20200125,15,1,
陕西,20200125,15,,
天津,20200125,13,,
河北,20200125,13,1,
云南,20200125,11,,
山西,20200125,9,,
内蒙古,20200125,7,,
甘肃,20200125,7,,
贵州,20200125,5,,
香港,20200125,5,,
宁夏,20200125,4,,
吉林,20200125,4,,
新疆,20200125,4,,
台湾,20200125,3,,
澳门,20200125,2,,
青海,20200125,1,,
西藏,20200125,0,,
湖北,20200126,1058,52,42
浙江,20200126,104,,1
广东,20200126,111,,2
河南,20200126,83,1,
重庆,20200126,75,,
湖南,20200126,69,,
安徽,20200126,60,,
北京,20200126,68,,2
四川,20200126,44,,
上海,20200126,40,,1
山东,20200126,46,,
江西,20200126,36,,
广西,20200126,36,,
江苏,20200126,33,,1
海南,20200126,22,,
辽宁,20200126,22,,
福建,20200126,35,,
黑龙江,20200126,16,1,
陕西,20200126,22,,
天津,20200126,14,,
河北,20200126,13,1,
云南,20200126,16,,
山西,20200126,9,,
内蒙古,20200126,7,,
甘肃,20200126,7,,
贵州,20200126,5,,
香港,20200126,8,,
宁夏,20200126,4,,
吉林,20200126,4,,
新疆,20200126,4,,
台湾,20200126,4,,
澳门,20200126,5,,
青海,20200126,1,,
西藏,20200126,0,,
湖北,20200127,1423,76,45
浙江,20200127,128,,1
广东,20200127,151,,3
河南,20200127,128,1,
重庆,20200127,110,,
湖南,20200127,100,,
安徽,20200127,70,,
北京,20200127,80,1,2
四川,20200127,69,,
上海,20200127,53,1,3
山东,20200127,75,,
江西,20200127,48,,1
广西,20200127,46,,
江苏,20200127,47,,1
海南,20200127,33,1,
辽宁,20200127,27,,
福建,20200127,59,,
黑龙江,20200127,21,1,
陕西,20200127,35,,
天津,20200127,22,,
河北,20200127,18,1,
云南,20200127,26,,
山西,20200127,13,,
内蒙古,20200127,11,,
甘肃,20200127,14,,
贵州,20200127,7,,
香港,20200127,8,,
宁夏,20200127,7,,
吉林,20200127,6,,
新疆,20200127,5,,
台湾,20200127,5,,
澳门,20200127,6,,
青海,20200127,6,,
西藏,20200127,0,,
湖北,20200128,3554,125,80
浙江,20200128,296,,3
广东,20200128,207,,4
河南,20200128,206,2,1
重庆,20200128,132,,
湖南,20200128,221,,
安徽,20200128,152,,
北京,20200128,91,1,4
四川,20200128,90,,
上海,20200128,80,1,4
山东,20200128,121,,
江西,20200128,109,,3
广西,20200128,58,,2
江苏,20200128,70,,1
海南,20200128,33,1,
辽宁,20200128,27,,
福建,20200128,80,,
黑龙江,20200128,33,1,
陕西,20200128,46,,
天津,20200128,24,,
河北,20200128,33,1,
云南,20200128,44,,
山西,20200128,27,,
内蒙古,20200128,15,,
甘肃,20200128,19,,
贵州,20200128,9,,
香港,20200128,8,,
宁夏,20200128,11,,
吉林,20200128,9,,
新疆,20200128,13,,
台湾,20200128,8,,
澳门,20200128,7,,
青海,20200128,6,,
西藏,20200128,0,,
湖北,20200129,4586,162,90
浙江,20200129,428,,4
广东,20200129,311,,6
河南,20200129,278,2,2
重庆,20200129,165,,
湖南,20200129,277,,
安徽,20200129,200,,
北京,20200129,111,1,4
四川,20200129,142,,
上海,20200129,101,1,5
山东,20200129,145,,
江西,20200129,162,,4
广西,20200129,78,,2
江苏,20200129,129,,1
海南,20200129,43,1,
辽宁,20200129,39,,1
福建,20200129,101,,
黑龙江,20200129,43,1,
陕西,20200129,56,,
天津,20200129,28,,
河北,20200129,65,1,
云南,20200129,70,,
山西,20200129,35,,1
内蒙古,20200129,16,,
甘肃,20200129,26,,
贵州,20200129,12,,1
香港,20200129,10,,
宁夏,20200129,12,,
吉林,20200129,14,,
新疆,20200129,14,,
台湾,20200129,8,,
澳门,20200129,7,,
青海,20200129,6,,
西藏,20200129,1,,
湖北,20200130,5806,204,116
浙江,20200130,428,,4
广东,20200130,354,,10
河南,20200130,278,2,2
重庆,20200130,206,,
湖南,20200130,277,,
安徽,20200130,237,,
北京,20200130,121,1,5
四川,20200130,177,1,1
上海,20200130,128,1,5
山东,20200130,158,,1
江西,20200130,162,,5
广西,20200130,87,,2
江苏,20200130,129,,1
海南,20200130,49,1,1
辽宁,20200130,45,,1
福建,20200130,101,,
黑龙江,20200130,44,2,
陕西,20200130,63,,
天津,20200130,31,,
河北,20200130,82,1,
云南,20200130,76,,
山西,20200130,39,,1
内蒙古,20200130,19,,
甘肃,20200130,29,,
贵州,20200130,15,,1
香港,20200130,12,,
宁夏,20200130,17,,
吉林,20200130,14,,1
新疆,20200130,14,,
台湾,20200130,9,,
澳门,20200130,7,,
青海,20200130,8,,
西藏,20200130,1,,
湖北,20200131,7153,249,166
浙江,20200131,599,,15
广东,20200131,520,,10
河南,20200131,422,2,3
重庆,20200131,238,1,1
湖南,20200131,389,,4
安徽,20200131,297,,3
北京,20200131,156,1,5
四川,20200131,207,1,3
上海,20200131,153,1,9
山东,20200131,202,,2
江西,20200131,286,,9
广西,20200131,100,,2
江苏,20200131,202,,5
海南,20200131,60,1,1
辽宁,20200131,60,,1
福建,20200131,144,,
黑龙江,20200131,80,2,
陕西,20200131,101,,
天津,20200131,34,,
河北,20200131,96,1,
云南,20200131,91,,1
山西,20200131,47,,1
内蒙古,20200131,23,,1
甘肃,20200131,35,,
贵州,20200131,29,,2
