driver,trip_id,ping_time,speed,lat,long
roul2,23509,2014-01-23T23:00:12Z,0,35.3740917,-77.9263213
roul2,23509,2014-01-23T23:15:12Z,0,35.3740978,-77.9263947
roul2,23509,2014-01-23T23:16:40Z,0,35.3740926,-77.9263873
roul2,23509,2014-01-23T23:18:38Z,0,35.3740961,-77.9263814
roul2,23509,2014-01-23T23:21:00Z,12,35.3735945,-77.92545
roul2,23509,2014-01-23T23:24:08Z,54,35.3840337,-77.9397812
roul2,23509,2014-01-23T23:30:00Z,56,35.408376,-78.0032991
roul2,23509,2014-01-23T23:30:12Z,58,35.4110109,-78.0022694
roul2,23509,2014-01-23T23:30:28Z,1,35.4133961,-78.00162
roul2,23509,2014-01-23T23:37:14Z,23,35.4141898,-78.0014494
roul2,23509,2014-01-23T23:45:00Z,63,35.519824,-77.990526
roul2,23509,2014-01-23T23:45:10Z,63,35.5227582,-77.989409
roul2,23509,2014-01-24T00:00:00Z,63,35.7246924,-78.0070759
roul2,23509,2014-01-24T00:00:10Z,62,35.7276463,-78.0081387
roul2,23509,2014-01-24T00:15:00Z,63,35.93098,-77.9031924
roul2,23509,2014-01-24T00:15:12Z,63,35.9335191,-77.9010325
roul2,23509,2014-01-24T00:30:00Z,63,36.1362818,-77.7894272
roul2,23509,2014-01-24T00:30:12Z,63,36.1393387,-77.7877647
roul2,23509,2014-01-24T00:45:00Z,64,36.3480562,-77.6841905
roul2,23509,2014-01-24T00:45:10Z,63,36.3505837,-77.6820097
roul2,23509,2014-01-24T00:59:30Z,63,36.5470319,-77.5754115
roul2,23509,2014-01-24T01:00:00Z,63,36.5541439,-77.5726268
roul2,23509,2014-01-24T01:00:10Z,63,36.5570752,-77.571475
roul2,23509,2014-01-24T01:04:38Z,2,36.6052438,-77.5602389
roul2,23509,2014-01-24T01:15:10Z,0,36.6052852,-77.5601708
roul2,23509,2014-01-24T01:20:34Z,7,36.6060505,-77.5602764
roul2,23509,2014-01-24T01:30:00Z,63,36.7222991,-77.531216
roul2,23509,2014-01-24T01:30:10Z,63,36.7243812,-77.5288411
roul2,23509,2014-01-24T01:45:00Z,63,36.9090346,-77.3982246
roul2,23509,2014-01-24T01:45:10Z,63,36.9118309,-77.3977501
roul2,23509,2014-01-24T02:00:00Z,63,37.1309132,-77.3576115
roul2,23509,2014-01-24T02:00:10Z,63,37.1334621,-77.3572593
roul2,23509,2014-01-24T02:15:00Z,56,37.3258379,-77.3391333
roul2,23509,2014-01-24T02:15:10Z,60,37.3280764,-77.3406621
roul2,23509,2014-01-24T02:30:00Z,63,37.5322018,-77.2746741
roul2,23509,2014-01-24T02:30:08Z,63,37.5344916,-77.276112
roul2,23509,2014-01-24T02:45:00Z,61,37.6906496,-77.4509307
roul2,23509,2014-01-24T02:45:10Z,62,37.6930717,-77.4499812
roul2,23509,2014-01-24T03:00:00Z,64,37.9174343,-77.4585525
roul2,23509,2014-01-24T03:00:10Z,63,37.9199474,-77.4592619
roul2,23509,2014-01-24T03:15:00Z,63,38.1369749,-77.508811
roul2,23509,2014-01-24T03:15:10Z,63,38.1396167,-77.5075285
roul2,23509,2014-01-24T03:30:00Z,44,38.3416489,-77.4936779
roul2,23509,2014-01-24T03:30:10Z,39,38.3428707,-77.4955558
roul2,23509,2014-01-24T03:45:00Z,59,38.459886,-77.6666372
roul2,23509,2014-01-24T03:45:10Z,58,38.4616129,-77.6690185
roul2,23509,2014-01-24T04:00:00Z,35,38.6210805,-77.8002048
roul2,23509,2014-01-24T04:00:12Z,42,38.6229433,-77.8005269
roul2,23509,2014-01-24T04:15:00Z,58,38.8002928,-77.8160398
roul2,23509,2014-01-24T04:15:12Z,57,38.8027946,-77.8143937
roul2,23509,2014-01-24T04:30:00Z,62,38.9077178,-77.9915519
roul2,23509,2014-01-24T04:30:12Z,64,38.9075303,-77.9955268
roul2,23509,2014-01-24T04:32:32Z,62,38.9097686,-78.0377747
roul2,23509,2014-01-24T04:45:00Z,63,38.9856017,-78.2356731
roul2,23509,2014-01-24T04:45:10Z,63,38.9871885,-78.2386659
roul2,23509,2014-01-24T05:00:00Z,63,39.1320093,-78.1808113
roul2,23509,2014-01-24T05:00:16Z,61,39.1356698,-78.1773457
roul2,23509,2014-01-24T05:12:30Z,63,39.2960357,-78.0807622
roul2,23509,2014-01-24T05:15:00Z,63,39.3305317,-78.0667323
roul2,23509,2014-01-24T05:15:10Z,63,39.3333341,-78.0651615
roul2,23509,2014-01-24T05:30:00Z,64,39.5206474,-77.9304862
roul2,23509,2014-01-24T05:30:10Z,63,39.523366,-77.9295049
roul2,23509,2014-01-24T05:37:26Z,58,39.5844319,-77.826704
roul2,23509,2014-01-24T05:44:58Z,10,39.6329711,-77.8063756
roul2,23509,2014-01-24T05:45:10Z,14,39.6333108,-77.8058209
roul2,23509,2014-01-24T05:45:22Z,7,39.6337011,-77.8061206
roul2,23509,2014-01-24T05:47:44Z,0,39.6332376,-77.8062954
roul2,23509,2014-01-24T06:00:10Z,0,39.6332301,-77.8062862
roul2,23509,2014-01-24T06:15:12Z,0,39.6332562,-77.8063136
roul2,23509,2014-01-24T06:26:14Z,16,39.633195,-77.8074732
roul2,23509,2014-01-24T06:30:00Z,51,39.6441216,-77.8325129
roul2,23509,2014-01-24T06:30:12Z,54,39.6458032,-77.8353508
roul2,23509,2014-01-24T06:45:00Z,59,39.6714169,-78.0756395
