?,??,????,????,????
??,20200125,1052,52,42
??,20200125,104,,1
??,20200125,98,,2
??,20200125,83,1,
??,20200125,75,,
??,20200125,69,,
??,20200125,60,,
??,20200125,51,,2
??,20200125,44,,
??,20200125,40,,1
??,20200125,39,,
??,20200125,36,,
??,20200125,33,,
??,20200125,31,,1
??,20200125,22,,
??,20200125,19,,
??,20200125,18,,
???,20200125,15,1,
??,20200125,15,,
??,20200125,13,,
??,20200125,13,1,
??,20200125,11,,
??,20200125,9,,
???,20200125,7,,
??,20200125,7,,
??,20200125,5,,
??,20200125,5,,
??,20200125,4,,
??,20200125,4,,
??,20200125,4,,
??,20200125,3,,
??,20200125,2,,
??,20200125,1,,
??,20200125,0,,
??,20200126,1058,52,42
??,20200126,104,,1
??,20200126,111,,2
??,20200126,83,1,
??,20200126,75,,
??,20200126,69,,
??,20200126,60,,
??,20200126,68,,2
??,20200126,44,,
??,20200126,40,,1
??,20200126,46,,
??,20200126,36,,
??,20200126,36,,
??,20200126,33,,1
??,20200126,22,,
??,20200126,22,,
??,20200126,35,,
???,20200126,16,1,
??,20200126,22,,
??,20200126,14,,
??,20200126,13,1,
??,20200126,16,,
??,20200126,9,,
???,20200126,7,,
??,20200126,7,,
??,20200126,5,,
??,20200126,8,,
??,20200126,4,,
??,20200126,4,,
??,20200126,4,,
??,20200126,4,,
??,20200126,5,,
??,20200126,1,,
??,20200126,0,,
??,20200127,1423,76,45
??,20200127,128,,1
??,20200127,151,,3
??,20200127,128,1,
??,20200127,110,,
??,20200127,100,,
??,20200127,70,,
??,20200127,80,1,2
??,20200127,69,,
??,20200127,53,1,3
??,20200127,75,,
??,20200127,48,,1
??,20200127,46,,
??,20200127,47,,1
??,20200127,33,1,
??,20200127,27,,
??,20200127,59,,
???,20200127,21,1,
??,20200127,35,,
??,20200127,22,,
??,20200127,18,1,
??,20200127,26,,
??,20200127,13,,
???,20200127,11,,
??,20200127,14,,
??,20200127,7,,
??,20200127,8,,
??,20200127,7,,
??,20200127,6,,
??,20200127,5,,
??,20200127,5,,
??,20200127,6,,
??,20200127,6,,
??,20200127,0,,
??,20200128,3554,125,80
??,20200128,296,,3
??,20200128,207,,4
??,20200128,206,2,1
??,20200128,132,,
??,20200128,221,,
??,20200128,152,,
??,20200128,91,1,4
??,20200128,90,,
??,20200128,80,1,4
??,20200128,121,,
??,20200128,109,,3
??,20200128,58,,2
??,20200128,70,,1
??,20200128,33,1,
??,20200128,27,,
??,20200128,80,,
???,20200128,33,1,
??,20200128,46,,
??,20200128,24,,
??,20200128,33,1,
??,20200128,44,,
??,20200128,27,,
???,20200128,15,,
??,20200128,19,,
??,20200128,9,,
??,20200128,8,,
??,20200128,11,,
??,20200128,9,,
??,20200128,13,,
??,20200128,8,,
??,20200128,7,,
??,20200128,6,,
??,20200128,0,,
??,20200129,4586,162,90
??,20200129,428,,4
??,20200129,311,,6
??,20200129,278,2,2
??,20200129,165,,
??,20200129,277,,
??,20200129,200,,
??,20200129,111,1,4
??,20200129,142,,
??,20200129,101,1,5
??,20200129,145,,
??,20200129,162,,4
??,20200129,78,,2
??,20200129,129,,1
??,20200129,43,1,
??,20200129,39,,1
??,20200129,101,,
???,20200129,43,1,
??,20200129,56,,
??,20200129,28,,
??,20200129,65,1,
??,20200129,70,,
??,20200129,35,,1
???,20200129,16,,
??,20200129,26,,
??,20200129,12,,1
??,20200129,10,,
??,20200129,12,,
??,20200129,14,,
??,20200129,14,,
??,20200129,8,,
??,20200129,7,,
??,20200129,6,,
??,20200129,1,,
??,20200130,5806,204,116
??,20200130,428,,4
??,20200130,354,,10
??,20200130,278,2,2
??,20200130,206,,
??,20200130,277,,
??,20200130,237,,
??,20200130,121,1,5
??,20200130,177,1,1
??,20200130,128,1,5
??,20200130,158,,1
??,20200130,162,,5
??,20200130,87,,2
??,20200130,129,,1
??,20200130,49,1,1
??,20200130,45,,1
??,20200130,101,,
???,20200130,44,2,
??,20200130,63,,
??,20200130,31,,
??,20200130,82,1,
??,20200130,76,,
??,20200130,39,,1
???,20200130,19,,
??,20200130,29,,
??,20200130,15,,1
??,20200130,12,,
??,20200130,17,,
??,20200130,14,,1
??,20200130,14,,
??,20200130,9,,
??,20200130,7,,
??,20200130,8,,
??,20200130,1,,
??,20200131,7153,249,166
??,20200131,599,,15
??,20200131,520,,10
??,20200131,422,2,3
??,20200131,238,1,1
??,20200131,389,,4
??,20200131,297,,3
??,20200131,156,1,5
??,20200131,207,1,3
??,20200131,153,1,9
??,20200131,202,,2
??,20200131,286,,9
??,20200131,100,,2
??,20200131,202,,5
??,20200131,60,1,1
??,20200131,60,,1
??,20200131,144,,
???,20200131,80,2,
??,20200131,101,,
??,20200131,34,,
??,20200131,96,1,
??,20200131,91,,1
??,20200131,47,,1
???,20200131,23,,1
??,20200131,35,,
??,20200131,29,,2
??,20200131,13,,
??,20200131,26,,
??,20200131,17,,1
??,20200131,18,,
??,20200131,10,,
??,20200131,7,,
??,20200131,9,,
??,20200131,1,,
