FIPS,State,County,% Insufficient Sleep,% Uninsured,Median Household Income,Population,% 65 and over,% less than 18 years of age,% Black,% Asian,% Hispanic,% Non-Hispanic White,% Female,% Some College,High School Graduation Rate,% With Access to Exercise Opportunities,Food Environment Index,% Adults with Obesity,% Smokers
29001,Missouri,Adair,32,12,40395,25339,14.8,18.4,2.8,2.3,2.6,90.1,51.9,65,92,78,6.6,28,21
29003,Missouri,Andrew,30,11,57459,17607,18.5,22.9,1.0,0.6,2.6,94.1,50.3,63,93,64,8.5,32,18
29005,Missouri,Atchison,30,14,49122,5171,25.4,20.1,0.4,0.3,1.3,96.5,50.3,62,96,76,8.0,39,18
29007,Missouri,Audrain,33,15,44340,25473,17.9,22.9,6.9,0.5,3.1,87.4,54.1,46,87,73,7.5,35,21
29009,Missouri,Barry,31,21,42457,35886,20.6,22.7,0.5,2.1,10.0,84.9,49.4,47,96,49,7.8,38,22
29011,Missouri,Barton,33,17,41583,11798,20.5,23.3,0.6,0.6,2.7,92.5,50.8,52,87,35,6.9,26,20
29013,Missouri,Bates,33,15,45955,16320,19.4,23.3,1.1,0.2,2.2,94.1,50.6,50,95,37,8.2,37,20
29015,Missouri,Benton,34,17,40025,19278,30.8,17.3,0.5,0.4,2.1,94.6,49.9,52,90,31,7.7,34,20
29017,Missouri,Bollinger,33,17,44233,12169,20.6,21.2,0.6,0.2,1.4,95.9,49.7,44,96,26,7.1,32,21
29019,Missouri,Boone,32,12,55136,180005,12.3,20.3,9.5,5.3,3.5,78.3,51.5,80,90,83,7.1,26,19
29021,Missouri,Buchanan,34,14,52506,88571,16.1,22.5,5.7,1.6,6.9,82.6,49.5,57,82,83,7.5,38,22
29023,Missouri,Butler,35,16,38067,42639,18.8,23.5,5.4,0.8,2.2,88.5,51.4,60,91,69,6.9,38,22
29025,Missouri,Caldwell,33,15,47591,9108,19.8,23.8,0.6,0.3,2.1,94.4,49.3,54,96,45,7.7,33,20
29027,Missouri,Callaway,33,13,53970,44889,16.3,20.9,4.4,0.8,2.2,90.1,48.9,53,91,68,7.8,37,18
29029,Missouri,Camden,31,17,48580,45815,28.2,17.7,0.7,0.7,2.9,94.0,50.3,50,91,69,7.7,23,18
29031,Missouri,Cape Girardeau,32,13,51962,78753,16.9,21.3,7.6,1.8,2.4,85.8,51.5,68,92,76,7.3,32,18
29033,Missouri,Carroll,34,16,47049,8743,21.8,23.0,1.7,0.2,1.6,94.7,51.4,46,100,48,7.5,38,20
29035,Missouri,Carter,33,20,34134,6054,19.9,23.5,0.3,0.1,2.8,93.9,51.7,67,94,77,5.6,28,21
29037,Missouri,Cass,31,11,71374,104954,16.9,24.2,4.1,0.9,4.6,87.6,51.3,66,92,69,7.9,37,17
29039,Missouri,Cedar,32,18,37288,14165,23.4,24.1,0.3,0.4,2.4,94.5,50.1,54,92,58,7.3,34,23
29041,Missouri,Chariton,34,14,48421,7451,23.6,22.8,2.4,0.3,1.0,94.8,50.4,54,100,34,8.0,29,19
29043,Missouri,Christian,34,13,58057,86983,15.7,25.3,0.8,0.7,3.0,93.1,50.9,70,94,67,8.0,31,19
29045,Missouri,Clark,33,16,46832,6842,20.8,22.9,0.4,0.5,1.0,96.7,48.9,50,98,44,7.6,30,20
29047,Missouri,Clay,35,11,68943,246365,14.1,24.1,6.7,2.5,7.0,80.7,50.9,71,95,91,8.0,33,16
29049,Missouri,Clinton,32,11,58641,20470,18.1,23.5,1.3,0.5,2.3,93.6,49.7,61,95,54,8.3,33,18
29051,Missouri,Cole,33,12,62817,76796,16.6,22.3,12.2,1.4,2.9,81.4,49.5,66,87,78,7.5,36,18
29053,Missouri,Cooper,33,13,52513,17603,17.9,21.4,7.0,0.6,2.1,87.8,47.8,53,98,59,7.6,34,19
29055,Missouri,Crawford,33,18,42774,23957,19.7,22.6,0.5,0.3,2.0,95.1,50.4,41,94,61,7.7,40,23
29057,Missouri,Dade,33,18,41381,7569,23.6,20.6,0.5,0.5,2.1,93.5,48.9,40,96,13,7.7,34,21
29059,Missouri,Dallas,33,20,38765,16762,20.3,23.6,0.3,0.3,2.2,94.5,50.1,38,96,6,7.4,33,20
29061,Missouri,Daviess,33,18,51255,8313,20.4,25.5,0.6,0.3,1.6,95.7,49.6,46,94,32,7.6,45,20
29063,Missouri,DeKalb,34,12,48920,12630,16.6,17.2,11.6,0.4,2.8,83.7,37.4,39,92,65,7.1,37,20
29065,Missouri,Dent,33,20,39392,15441,21.8,22.4,0.6,0.8,1.8,94.1,50.2,44,98,63,7.1,22,22
29067,Missouri,Douglas,33,18,36762,13373,24.3,21.8,0.4,0.3,1.8,94.7,50.0,48,99,39,6.7,31,22
29069,Missouri,Dunklin,35,17,37331,29423,18.7,25.6,10.2,0.6,7.0,80.1,52.2,49,93,68,6.2,41,26
29071,Missouri,Franklin,31,13,58738,103670,17.4,23.0,1.0,0.5,1.8,95.0,50.3,65,89,75,8.2,33,19
29073,Missouri,Gasconade,32,14,52282,14705,22.7,20.6,0.5,0.5,1.5,95.9,50.1,59,89,47,8.4,31,18
29075,Missouri,Gentry,31,14,43731,6628,19.9,24.7,0.6,0.5,1.7,95.7,51.8,60,98,62,8.1,29,19
29077,Missouri,Greene,31,14,44799,291923,16.5,20.9,3.3,2.3,3.9,87.3,51.4,71,89,83,7.3,33,20
29079,Missouri,Grundy,32,16,40315,9914,21.6,24.0,1.0,1.0,2.6,93.8,51.3,54,96,59,6.8,34,20
29081,Missouri,Harrison,33,18,40639,8414,22.5,24.2,0.6,0.4,2.4,94.9,50.6,45,94,23,6.9,32,21
29083,Missouri,Henry,32,15,44978,21792,21.7,22.0,1.3,0.4,2.6,93.3,50.9,52,88,45,6.7,31,21
29085,Missouri,Hickory,32,19,35025,9509,32.8,17.2,0.6,0.2,1.9,94.4,50.6,49,98,32,7.3,33,20
29087,Missouri,Holt,32,15,47191,4404,25.1,20.7,0.3,0.4,1.3,95.6,51.1,56,100,62,5.2,29,19
29089,Missouri,Howard,33,15,45767,10137,19.3,21.7,4.9,0.4,1.6,90.4,50.0,54,93,36,7.5,34,20
