Province,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01
湖北,1052,1058,1423,3554,4586,5806,7153,9074
浙江,104,104,128,296,428,428,599,661
广东,98,111,151,207,311,354,520,604
河南,83,83,128,206,278,278,422,493
重庆,75,75,110,132,165,206,238,262
湖南,69,69,100,221,277,277,389,463
安徽,60,60,70,152,200,237,297,340
北京,51,68,80,91,111,121,156,183
四川,44,44,69,90,142,177,207,231
上海,40,40,53,80,101,128,153,182
山东,39,46,75,121,145,158,202,225
江西,36,36,48,109,162,162,286,333
广西,33,36,46,58,78,87,100,111
江苏,31,33,47,70,129,129,202,236
海南,22,22,33,33,43,49,60,63
辽宁,19,22,27,27,39,45,60,64
福建,18,35,59,80,101,101,144,159
黑龙江,15,16,21,33,43,44,80,95
陕西,15,22,35,46,56,63,101,116
天津,13,14,22,24,28,31,34,48
河北,13,13,18,33,65,82,96,104
云南,11,16,26,44,70,76,91,99
山西,9,9,13,27,35,39,47,56
内蒙古,7,7,11,15,16,19,23,27
甘肃,7,7,14,19,26,29,35,40
贵州,5,5,7,9,12,15,29,38
香港,5,8,8,8,10,12,13,14
宁夏,4,4,7,11,12,17,26,28
吉林,4,4,6,9,14,14,17,23
新疆,4,4,5,13,14,14,18,21
台湾,3,4,5,8,8,9,10,10
澳门,2,5,6,7,7,7,7,8
青海,1,1,6,6,6,8,9,11
西藏,0,0,0,0,1,1,1,1
